,Respondent,Redis,MariaDB,Elasticsearch,SQL Server,Google Cloud Storage,PostgreSQL,Apache Hive,Neo4j,MongoDB,IBM Db2,Amazon DynamoDB,Amazon RDS/Aurora,Google BigQuery,MySQL,Cassandra,Oracle,Memcached,Amazon Redshift,Apache HBase,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",SQLite
0,1,1,,,1,,1,,,,,,1,,1,,,,,,1,
1,3,1,,,,,1,,,,,,,,,,,1,,,,
2,4,,,,,,,,,,,,,,,,,,,,,
3,5,,,,1,,,,,,,,,,,,,,,,1,
4,7,,,,1,,1,,,,1,,,,,,1,,,,,
5,8,,,,,,,,,1,,,,,,,,,,,,
6,9,,,,,,,,,1,,,,,,,,,,,,
7,10,,,,,1,,,,1,,,,,1,,,,,,1,
8,11,1,,1,,,1,1,,,,1,1,,,,,,1,1,,
9,16,,,,,,,,,,,,,,,,,,,,,
10,17,,,,,,,,,,,,,,,,,,,,,
11,18,,,,,,,,,,,,,,,,,,,,,
12,19,,,,,,,,,,,,,,,,,,,,,
13,20,,1,1,,,,,,1,,,,,1,,1,,,,,
14,21,,,,1,,,,,,,,,,1,,,,,,,
15,22,,,,,,,,,,,,,,,,,,,,,
16,26,,,,,,,,,,,,,,,,,,,,,
17,27,,,,1,,,,,,,,,,,,,,,,,
18,29,,,,,,,,,,,,,,,,,,,,,
19,31,,,,,,,,,,,,,,,,,,,,,
20,33,1,,,,,1,,,,,,,,,,,,,,,1
21,34,,,,1,,,,,,,,,,1,,,,,,,1
22,37,,,,,,,,,,,,,,1,,,,,,,
23,38,,1,,,,,,,1,,,1,,1,,,,,,,
24,39,,,,1,,,,,,,,,,1,,,,,,,
25,41,,,,,,,,,,,,,,,,,,,,,
26,43,,,,,,,,,,,,,1,,,,1,,,,
27,44,,,,1,,,,,,,,,,,,,,,,1,
28,45,,,,,,,,,,,,,,,,,,,,,
29,46,,,,,1,,,,,,,,,1,,,,,,,
30,47,1,,,,,1,,,1,,,,,1,,,,,,,
31,50,,,,,,1,,,,,,,,1,,,,,,,
32,51,,,,1,,,,,,,,,,1,,,,,,,
33,52,,,,,,1,,,,,,,,,,,,,,,
34,53,1,1,1,1,,1,,,1,,1,1,1,1,,,,,,1,
35,54,,,,,,1,,,,,,,,,,,,,,,
36,55,1,,,,,1,,,1,,,,,,,,,,,,
37,56,,,,1,,1,,,,,,,,,,,,,,,
38,57,,,,,,,,,,,,,,,,,,,,,
39,59,,,,1,,1,,,1,,,,,,,,,,,,
40,60,,,,,,,,,,,,,,,,,,,,,1
41,61,,,,,,,,,,,,,,1,,,,,,,1
42,63,,,,,,,,,,,,,,,,1,,,,,
43,66,,,,,,,,,,,,,,,,,,,,,
44,67,,,,1,,,,,,,,,,1,,,,,,,
45,71,,1,,,,,,,,,,,,1,,,,,,,
46,72,,,,,,,,,1,,1,,,,1,,,,,,
47,75,,,,,,,,,,,,,,1,,,,,,,
48,76,,1,,1,,1,,,1,,,,,1,,1,,,,,1
49,77,,,1,,,1,,,,,,,,,,,,,,,
50,78,,,,,,,,,,,,,,,,,,,,,
51,79,,,,,,,,,,,,,,,,,,,,,
52,80,,,,,,,,,,,,,,,,,,,,,
53,81,,1,,,,,,,,,,,,1,,,,,,,
54,82,,,,,,,,,,,,,,,,,,,,,
55,83,,1,,1,,,,,,,,,,1,,,,,,,
56,84,,,,,,,,,,,,,,,,,,,,,
57,85,,1,1,,,1,,,1,,,,,1,,,,,,,1
58,87,,,,,,1,,,,,,,,,,,,,,,
59,88,,,,,,,,,,,,,,,,,,,,,
60,89,,1,,1,,,,,1,,,,,1,,,,,,,1
61,90,,,,,,,,,,,,,,1,,,,,,,
62,91,,,,,,1,1,1,,,,,,1,,,,1,1,,
63,92,1,1,,,,,,,,,1,,,,,,,,,,
64,95,,,,,,,,,1,,,,,1,,,,,,,
65,96,,,,1,,,,,,,,,,,,,,,,,
66,97,,,,,,,,,,,,,,,,,,,,,
67,98,,,,,,,,,,,,,,,,,,,,,
68,101,,,,,,,,,,,,,,,,,,,,,
69,103,,,,,,,,,1,,,,,1,,1,1,,,,
70,105,,,,,,,,,,,,,,,,,,,,,
71,106,,,,,,,,,,,,,,,,,,,,,
