,Respondent,Engineering manager,QA or test developer,Designer,Mobile developer,System administrator,Game or graphics developer,Product manager,Data or business analyst,Educator or academic researcher,Marketing or sales professional,Back-end developer,Student,"C-suite executive (CEO, CTO, etc.)",DevOps specialist,Front-end developer,Database administrator,Data scientist or machine learning specialist,Embedded applications or devices developer,Desktop or enterprise applications developer,Full-stack developer
0,1,,,,,,,,,,,,,,,,,,,,2
1,3,,,,,2,,,,,,,,,2,,2,,,,2
2,4,2,,,,,,,,,,,,,,,,,,,2
3,5,,,,,,,,,,,,,,,,,,,,2
4,7,,2,,,,2,,2,,,,2,,,,,,,2,
5,8,,,,,,,,,,,2,,,,2,2,,,,2
6,9,,,,,,,,,,,2,,,,2,,,,,2
7,10,,2,2,,,,,,,,,,,,2,,,,,
8,11,2,,,,2,,,2,,,2,,2,2,,2,,,,2
9,16,,,2,,,,,,,,,,,,,,,,,
10,17,,,,2,2,,,,,,2,,,,,2,,,,
11,18,,,,,,,,,,,2,,,,2,,,,,2
12,19,,,,,,,,,,,2,,,,2,,,,,
13,20,,,,,,,,,,,2,,,,,,,,,2
14,21,,,,,,,,,,,2,2,,,2,,,,,
15,22,,,,,,,,,,,,,,,,,,,,2
16,26,,,,,,,,,,,,2,,,,,,,,
17,27,,,,,,,,,,,2,,,,,,,,,
18,29,,,,,,,,2,,,,,,2,,2,2,,,
19,31,,2,,,,,,,,,2,2,,,2,,,,,2
20,33,,,,2,,,,,,,,,,,,2,,,,2
21,34,,2,,,,,,,,,2,,,,,,,,2,
22,37,,,2,,,,,,,,2,,,,2,2,,,2,2
23,38,,2,,,2,,,,,,2,,,2,2,2,,,,2
24,39,,,,2,,,,,,,,,,,,,,,,
25,41,,,,,,,,,,,,,,,,,,,,2
26,43,,,,,,,,,,,,,,,2,,,,,2
27,44,,,,,,,,,,,2,,,,,,,,,2
28,45,,,,,,,,,,,2,,,,2,,2,,2,2
29,46,,,,2,,,,,,,2,,,,2,,,,,2
30,47,2,,,,,,,,,,2,,,,,,,,,
31,50,,,,,,,,,,,2,,,,2,,,,,2
32,51,,,2,2,,,,,,2,2,,,,2,,,,,2
33,52,,,,,,,,,,,,,,,,,,,,2
34,53,,,2,,,,,,,,,,,,,,,,,
35,54,,,,2,,,,,,,2,,,2,2,2,,,,2
36,55,,,,,,,,,,,2,,,,2,,,,,2
37,56,,,,2,,,,,,,2,,,,2,2,,,,2
38,57,,,2,2,,2,,2,,,2,2,,,2,,,,,
39,59,,,,,,,2,,,,,,,,,,,,,2
40,60,,,,,,,,,,,,2,,,,,2,,,
41,61,,,2,,,,,,,,,,,,2,,,,,
42,63,,,,,,,,,,,,,,,,,,,,2
43,66,,,,,,,,,,,2,,,,,,,2,,
44,67,,,,,,,,,,,2,,,,2,,,,,
45,71,,,,,,,,,,,2,,,,2,,,,2,2
46,72,,,,,,,,,,,2,,,,,,,,,2
47,75,,,2,,,,,,2,,2,,,,2,,,,,
48,76,,,,2,,2,,,,,,,,,,,,2,2,2
49,77,,,,,,,,,,,2,,,2,,,,,,
50,78,,,,,,,,,,,2,,,,,,,,2,
51,79,,,,,,,,,,,2,,,,,,,,,2
52,80,,,,,,,,,,,,,,,,,,,,2
53,81,,,,,2,,,,,,2,,,,2,,,2,2,2
54,82,,,2,,,,,,,,,,,,2,,,,,
55,83,,,,,,,,,,,2,,,,,,,2,2,
56,84,,,,,,,,,,,2,,,,,,,,,2
57,85,,,,,,,,,,,2,2,,,2,,,,,
58,87,,2,,,,,,,,,2,,,2,,2,,,2,2
59,88,,2,,,2,,,2,2,,2,,,,2,2,,,2,
60,89,,,,,2,,,,,,2,2,,,2,2,,,,
61,90,,,2,,,,,,,2,,,,,2,,,,,
62,91,,2,,,2,,,,2,,2,,,2,,,2,,,
63,92,,,,,,,,,,,,,,,,,,,,2
64,95,,,,,,,,,,,,,2,,,,,,,
65,96,,,,,,,,,,,2,,,,2,2,,,,
66,97,,,2,2,,,2,,,,2,,,2,2,2,,,,2
67,98,,,,,2,,,2,,,,,,2,,2,,,,
68,101,,,,2,,,,,,,,,,,,,,,,
69,103,,,,,,2,,,,,2,2,,,2,,,,2,2
70,105,,2,,,,,,,,,2,,,,,,,,,2
71,106,2,,,,2,,,,,,2,,2,2,,2,,,,2
72,107,,,2,2,2,,,,,,2,,,,2,2,,,,2
73,111,,,,,2,,,,,,2,,,,,,,,,2
74,112,,,,2,,,,,,,,,,,,,,,,
75,113,,,,,,,2,,,,,,,,2,,,,2,
76,117,,,,,,,,,,,2,,,,2,,,,,2
77,118,,,,,,,2,,,,2,,,,,,,,,
78,119,,,,,,,,,,,2,,,,2,,,,,2
79,120,,,,,,,,,,,2,,,,2,,,,2,2
80,122,,,,,,,,,,,2,,,,,,,2,,2
81,123,2,,,,,,,,,,,,,,,,,2,,
82,124,,,,2,,,,,,,2,,,2,2,,,,,2
83,125,,,2,2,,,,,,,2,,2,,2,2,,,,2
84,126,,,,2,,,,,,,,,,,,,,,,
85,127,,,,,,,,,,,,,,,2,,,,,
86,129,,,,,,2,,,,,2,2,,,,,2,,,2
87,131,,,,,2,,,2,,,2,,,2,2,2,,,,2
88,132,,,,,,,,,,,,,,,,,2,,,
89,133,,,,2,,,,,,,2,,,,,,,,,2
90,134,,,,,,,,,,,2,,,,,,,2,2,
91,135,,2,,,,,,,,,,,,,,,,,,
92,136,,,,,,,,,,,,2,,,,,,,,
93,137,2,,,2,,,,,,,,,,,,,,,,
94,138,,,,,,,,,,,2,,,2,,,,,,
95,140,,,,,,,,,,,2,,,,,,,,,
96,141,,,,,,,,,,,,,,,,,,,,
97,142,,,,,,,,,,,,,,,,,,2,,
98,143,,,,,,,,,,,,2,,,2,,,,,
99,146,,,,2,,,,,,,2,,,,,,,,,
100,148,,,,,,,,,,,,,,,2,,,,,
101,149,,,,,,,,,,,,,,,,,,,,
102,150,,,,2,,,,,,,,,,,,,,,,
