Respondent,OperatingSystem
1,2
3,2
4,0
5,4
7,4
8,2
9,3
10,4
11,3
16,0
17,0
18,0
19,0
20,2
21,4
22,0
26,0
27,4
29,4
31,0
33,3
34,3
37,4
38,3
39,3
41,2
43,3
44,4
45,0
46,3
47,2
50,3
51,3
52,3
53,4
54,2
55,3
56,4
57,0
59,4
60,3
61,4
63,4
66,2
67,4
71,4
72,2
75,3
76,3
77,3
78,0
79,4
80,0
81,4
82,0
83,4
84,0
85,2
87,4
88,0
89,2
90,3
91,1
92,4
95,4
96,4
97,0
98,0
101,0
103,4
105,2
106,0
107,4
111,2
112,3
113,4
117,4
118,0
119,2
120,4
122,3
123,4
124,3
125,3
126,4
127,4
129,4
131,0
132,0
133,0
134,4
135,4
136,0
137,3
138,0
140,2
141,3
142,4
143,0
146,2
148,3
149,4
150,0
151,3
152,2
153,4
155,4
156,0
157,4
158,0
160,4
161,3
162,4
163,4
164,3
167,2
168,4
169,4
170,4
175,4
177,4
179,0
181,0
182,2
184,3
186,4
187,4
188,3
189,4
192,4
194,4
195,2
196,4
198,2
201,2
202,0
206,4
211,0
212,0
213,3
214,4
216,2
217,3
218,3
219,4
222,4
226,4
228,3
230,0
231,2
233,3
234,4
236,3
237,3
240,4
242,2
243,0
244,4
245,4
246,4
247,4
248,3
249,3
250,0
251,4
253,0
254,2
255,4
256,2
257,4
260,3
261,4
263,0
264,3
265,0
266,3
267,0
270,4
271,2
272,2
274,0
278,2
279,4
280,4
282,4
283,2
284,4
285,3
286,4
287,0
289,4
291,2
293,0
294,3
295,4
296,2
297,0
298,3
299,3
302,3
303,4
304,2
305,0
306,4
307,4
308,4
310,0
313,3
315,3
316,0
317,3
318,4
319,4
320,3
321,4
323,2
324,4
325,0
327,4
328,3
330,0
332,2
333,0
334,0
337,4
338,3
340,4
342,0
343,4
344,3
345,4
346,3
348,0
350,4
351,4
352,3
354,2
355,0
357,2
359,0
360,3
361,2
362,3
363,3
364,2
365,0
366,4
367,4
368,0
369,3
371,4
372,2
373,4
374,0
377,4
378,4
379,3
380,3
382,0
383,3
384,2
387,3
388,3
389,0
390,4
391,2
393,4
395,3
396,4
397,2
398,3
399,2
400,3
401,0
402,4
403,3
404,4
405,4
407,4
409,0
410,4
412,2
413,4
415,2
416,2
418,0
419,4
420,0
421,0
422,4
424,4
425,4
426,4
427,3
428,2
430,0
431,4
432,4
433,0
434,4
435,3
436,4
438,4
439,4
440,3
443,3
444,4
445,1
446,3
447,4
448,4
449,4
452,3
453,3
455,0
456,0
458,2
460,4
461,4
462,4
464,4
465,0
466,2
467,4
468,3
469,4
470,3
471,3
472,4
473,0
474,3
475,4
477,4
479,0
481,4
483,3
484,4
486,4
487,4
488,2
490,3
491,3
492,3
495,4
497,4
499,0
501,4
502,3
506,2
507,2
508,4
509,4
510,0
513,3
514,4
515,4
516,4
518,4
519,3
520,4
521,2
522,4
523,4
524,4
525,3
526,4
528,2
530,0
531,0
533,4
534,2
535,4
536,2
538,3
540,4
541,0
542,0
543,4
545,0
546,4
547,4
548,4
549,2
550,2
551,3
553,4
554,3
555,2
556,3
557,3
558,2
560,0
562,0
563,4
564,0
565,4
566,3
567,0
569,2
570,4
573,4
574,3
575,4
576,3
579,2
580,4
583,4
584,4
585,4
586,4
587,4
588,0
589,4
590,0
591,4
592,4
593,4
594,2
596,3
597,4
599,2
600,4
601,2
602,4
606,4
607,4
608,4
609,4
611,4
613,3
614,2
615,2
616,4
618,0
619,3
620,0
621,4
622,4
623,3
624,3
626,0
628,4
629,3
630,0
631,4
632,4
633,4
634,4
638,0
639,0
640,3
642,4
643,4
645,4
646,3
647,0
651,2
652,4
654,4
655,0
656,3
657,2
659,0
661,4
662,4
663,4
664,2
665,4
666,4
667,2
669,3
670,0
671,4
672,4
674,3
675,3
676,2
677,0
678,4
679,3
681,2
682,0
685,2
686,4
688,0
689,3
691,4
692,4
693,4
694,0
695,2
697,0
699,0
700,4
701,4
704,4
705,4
706,4
708,4
709,3
710,3
711,0
712,3
713,0
714,3
715,3
718,0
719,3
720,4
721,3
722,4
723,3
725,2
726,4
727,2
728,3
729,3
730,4
731,2
732,4
733,2
734,2
735,0
736,3
738,2
739,4
740,3
742,4
743,0
744,2
746,4
747,0
749,2
750,0
751,4
753,4
754,4
755,3
756,3
758,4
759,3
760,3
761,3
762,3
763,4
764,3
766,3
767,4
768,0
