Respondent,amazon echo,android,apple watch or apple tv,arduino,aws,azure,drupal,esp8266,firebase,gaming console,google cloud platform/app engine,google home,heroku,ibm cloud or watson,ios,linux,mac os,mainframe,predix,raspberry pi,salesforce,serverless,sharepoint,windows desktop or server,windows phone,wordpress
1,,,,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,
3,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
7,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,
8,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
9,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
10,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,
11,1.0,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,1.0,,,1.0,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,
34,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,
37,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,
41,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0
47,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
50,,1.0,,,1.0,,,,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,
51,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0
52,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,
54,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
55,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,
56,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,
60,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
66,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
67,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
72,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0
77,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
