,Network Engineer,Full stack,QA/Test Developer,Enterprise application,DevOps,Mobile Developer,Back End,Database Administrator(DBA),Front End,Game developer,System Administrator,Data Scientist,Business analyst,Sales professional,Product Manager,Information Security,Software Developer/Java Developer,Web Developer,Cloud Computing
418ff92580b270ef4e7c14f0ddfc36b4,,,1.0,,,,,,,,,,,,,,,,
8aec88cba08d53da65ab99cf20f6f9d9,,,,,,,,,,,,,,,,1.0,,,
46baa1f69ac07779274bcd90b85d9a72,,,,,,,,,,,,,1.0,,,,,,
3941b2f206ae0f900c4fba4ac0b18719,,,,0.180669760482383,,,,,0.18000577130777498,,0.1736943239683259,,,0.18099037259731723,,,0.28463977164419874,,
45efa1f6bc65acc32bbbb953a1ed13b7,,,,,1.0,,,,,,,,,,,,,,
e0ac9d926dda5e95162ef05adea7318c,,,1.0,,,,,,,,,,,,,,,,
e7e326053c586bd94e59f1fd74de4a1b,1.0,,,,,,,,,,,,,,,,,,
b0dadecf4c3c2beecb9c773ca11ecda4,,,,,,,0.406523141244494,,,,,,,,,,,0.593476858755506,
28f5e0c1cc3314813e674f0c32b04d1b,,,,,,,,,1.0,,,,,,,,,,
95c9127e2770172f454f3b83981eaa88,,,,1.0,,,,,,,,,,,,,,,
5e0ff38f5eaf44726f4e3d1dd257a244,0.6890662045106618,,0.31093379548933825,,,,,,,,,,,,,,,,
e4a1ff1b6c0fda5f345e57cf1acb40dd,,,,,,,,,,,,,,,,1.0,,,
d0c81a2e3e5d666f3d730f1048c49132,,,,,,,,,,,,,,,1.0,,,,
51279d060da242e3baea98b26ddd641e,,,,0.1754808365671965,,,0.18585473958599744,,0.17480430712944955,,,,,0.28475229655649065,0.17910782016086582,,,,
48b7ca0c2f6191fb48e7ecf19fbd3322,,,,,,,,,,,,,,,1.0,,,,
9e5704d08bc07ddb6df9ef98b223b036,,,,,,,,,,,1.0,,,,,,,,
e4dceaaaaae37ca6eabb04a7d42498b4,,,1.0,,,,,,,,,,,,,,,,
7ad2eadde69e07fee0e38c1a251dd81f,,,,,,,,,,,,,0.5854615522224642,,,0.41453844777753585,,,
f3af6886ca0d133abda2ddf9b84633e4,,,,,,,,,,,1.0,,,,,,,,
e4f57bc5366124a0a47cac27f557f9ec,0.12726841738796563,0.12647493007004948,,,,,,,0.13257190750088316,,0.13041036455788374,,,,0.13606704842567427,,0.21565097295590457,0.13155635910163918,
d3073d47b79938269b22bdea4dc0b9b8,,,,,,,,,,,,,1.0,,,,,,
c014c8569c91f22bc871940bfa4b4296,,,,,,,,,,,,,,,1.0,,,,
b7fab2d3de5e129310b382d8f51508f6,,,0.33516272694439353,0.22675824787173973,,,,,,,0.21788465111805785,,,0.220194374065809,,,,,
4868383e3f99535778f354fcb734d57c,,,,,,,0.2871207995670752,,,,,,,0.42595545287723374,,0.28692374755569106,,,
81f8732626888727fcc1093b6c084839,0.4308857680175294,,,0.27625557587626703,,,,,,,,,,,,0.29285865610620354,,,
cf902dc6fd702207563ed1cdc03ef05e,,,,,,,,,,,,,,,1.0,,,,
1bef3cf6259e80d18222407858ad9052,,,,,,,,,,,,,,,,,1.0,,
72a3f0f0f24a0a78c5fac3c2376f5979,0.14029546884701807,0.14569346073496428,0.2612140530025693,0.1533483107927022,,,,,,,0.14832944326969058,,,,0.15111926335305553,,,,
4a3f8742fae151757eb290a774968371,,0.20818643423153455,,,,,0.21476988256695756,,,,,,,,0.219076123797354,0.357967559404154,,,
b1db84e23f424b1481b29212749abadc,0.4248062182722755,,,,,,0.28462555503478765,,,,,,,,,0.2905682266929368,,,
51a0050d469e787dba2102383797536d,,,,,,,,,,,,,,,,,1.0,,
f2ade5d053b992593e2bdacd83a18a7f,,,,,,,,,,,,,1.0,,,,,,
2831bbdba025f87efca38b9761f26b95,,,,,,0.5887142185986648,0.41128578140133526,,,,,,,,,,,,
2b2322459de27834b0c3c86737fb16a8,,,,0.18063084283583256,,,,,0.17686341731483762,,0.17673362160704226,,,,0.17158864420869036,,0.2941834740335973,,
b923d29624fb4dc9e193aa30f8253ee6,,,,,,,,,,,,,1.0,,,,,,
5be5533c9ed448d1ef92016a56573869,,,,,,,,,,,,,,,,0.4126281425677645,0.5873718574322356,,
ebdaa795cb443c6b7881b7a15c4c25b1,,,,,,0.1421612990028452,,,,0.13928083885042303,0.28089923090838137,0.14401741121818448,,,,,0.139220699371751,0.154420520648415,
d92f267244249065890ee6bde5275f49,,,,,,,,,,,,,,,,,1.0,,
8cbcc9ef3be25e4409fcb4ab55d6503d,,,,,,,,,,,,,,,,,1.0,,
e2f1a046c937631529aec11a56f8590a,,0.1463417111332029,,0.15291245162411354,,0.25120938146633787,,,0.15591865109164785,,0.1418498278295659,,,,0.1517679768551319,,,,
a2ef697606d460795dda16de672a5d5d,,,,,,,,,,,,,,,,1.0,,,
